Year,State_Name,County_Name,State_ID,County_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2021,Arkansas,Greene,04,270,82034.93,0.98678,32.08,9772.86,0.82417,836.25,15319.75,0.96912,299.33,10450.07,0.99107,3827.67
2021,Arkansas,Hempstead,04,280,72364.41,1.00029,25.25,8139.02,0.84158,388.67,17603.76,0.94852,189.42,9630.91,0.97789,1652.5
2021,Arkansas,"Hot Spring",04,290,64771.26,0.93908,24.5,9954.02,0.98191,531.33,18835.58,1.03115,245.08,10587.03,1.08636,3094.5
2021,Arkansas,Howard,04,300,59679.64,0.95761,14.58,11219.87,1.00461,293.42,18251.93,0.95485,154,10542.99,0.96465,1325.5
2021,Arkansas,Independence,04,310,102604.06,1.18336,16,11484.54,0.96847,746.5,20462.46,1.05654,369,10867.15,1.02724,3643.08
2021,Arkansas,Izard,04,320,*,*,*,8830.61,0.7771,349.42,16014.31,0.89756,196.5,9368.6,0.98516,1496.92
2021,Arkansas,Jackson,04,330,74218.13,1.00477,24.17,11408.85,1.04611,344.67,20010.51,1.07348,210,10703.87,1.07176,1394.58
2021,Arkansas,Jefferson,04,340,81952.08,0.98338,98.08,9816.89,1.01068,1127.08,17549.51,0.95266,511.67,9720.62,1.0072,5270.92
2021,Arkansas,Johnson,04,350,83267.59,0.95005,12.42,8469.3,0.83402,503.08,13915.28,0.89904,207.92,8336.82,0.95891,1902.83
2021,Arkansas,Lafayette,04,360,*,*,*,9542.05,0.97815,156.42,14799.22,0.81763,97.67,10052.24,0.97649,702.75
2021,Arkansas,Lawrence,04,370,101941.4,0.83658,14.08,9994.2,0.8462,345.92,17780.98,0.96866,214.25,11136.19,1.02543,1602.75
2021,Arkansas,Lee,04,380,73777.92,1.00921,21,5384.23,0.85457,126.58,16204.64,0.81378,114.5,9065.44,0.99228,576.33
2021,Arkansas,Lincoln,04,390,91047.24,0.95839,10.5,11301.01,0.9477,235.33,22294.24,1.05637,137.33,11982.88,1.04972,965.75
2021,Arkansas,"Little River",04,400,73276.86,1.0063,11.58,10554.78,0.9582,184.33,20082.82,1.18092,115.17,11988.94,1.0515,1149.33
2021,Arkansas,Logan,04,410,68832.37,0.94552,12.75,8526.54,0.97337,421.67,15285.86,1.02658,230.33,9300.39,1.04131,1988.92
2021,Arkansas,Lonoke,04,420,67316.43,0.94164,48.17,9925.94,0.94498,963.33,19521.42,1.07423,392.83,10114.86,1.00844,5712.58
2021,Arkansas,Madison,04,430,*,*,*,8811.89,0.85005,198.92,13557.56,0.89277,150.42,8435.5,0.97419,1110.83
2021,Arkansas,Marion,04,440,*,*,*,9815.43,0.90036,338.42,14101.96,0.88452,175.75,8184.95,0.89434,1888.5
2021,Arkansas,Miller,04,450,88692.84,1.0211,31.5,10240.95,0.96728,683.75,18493.92,0.9326,294.08,10273.42,1.01276,3170.58
2021,Arkansas,Mississippi,04,460,76704.06,0.96239,58.17,9279.48,0.94198,725.17,16157.03,0.99463,385,10350.42,1.04076,2480.67
2021,Arkansas,Monroe,04,470,59367.55,1.00824,9,9398.06,0.98451,138.33,14616.73,0.987,116.58,8651.57,0.95143,723.5
