Year,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2016,Arkansas,Randolph,4,600,86244.84,0.85651,14,7695.75,0.80163,610.42,13961.02,0.9421,333,8196.32,0.89961,1951.33
2016,Arkansas,"St. Francis",4,610,71676.42,0.93198,63.42,8426.08,0.84486,698.5,11568.09,0.88305,398.58,8009.54,0.92061,1866.58
2016,Arkansas,Saline,4,620,60782.49,0.96044,64,8134.74,0.91337,2348.92,15504.26,1.07497,629.42,8651.48,0.95461,12809.25
2016,Arkansas,Scott,4,630,71623.38,0.92607,10.42,7858.17,0.87549,282.75,13691.34,0.92697,169.25,8028.03,0.90542,935.58
2016,Arkansas,Searcy,4,640,*,*,*,6434.32,0.78863,295,14094.34,0.91061,228.33,7471.07,0.93207,947.08
2016,Arkansas,Sebastian,4,650,74974.45,0.98554,115.5,8576.48,0.91066,2742,17245.52,0.97438,1100.58,8524.47,0.97749,9248.58
2016,Arkansas,Sevier,4,660,47127.92,0.8611,9.67,10074.6,0.94259,363.08,20795.11,1.026,190.58,9934.37,1.03177,1359.08
2016,Arkansas,Sharp,4,670,63673.16,0.89731,11.83,8473.37,0.79567,801.67,14914.58,0.98651,405.83,8852.07,0.95241,2496.08
2016,Arkansas,Stone,4,680,*,*,*,8684.44,0.84821,573,13427.65,0.95096,304.42,8276.62,0.96166,2010.42
2016,Arkansas,Union,4,690,61881.17,0.95406,91.58,8533.11,0.87639,1231.67,14386.99,0.92686,568.33,8540.3,0.95758,4408.75
